dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,base_price,distance,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1/10/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,4,9.637378863,34.67,-73.985427,40.758853,-73.872907,40.774497
11/10/2012,4,1,11,19,0,6,0,1,0.46,0.4545,0.51,0.0896,55,228,283,4,1.691394407,9.7,-73.979542,40.727498,-73.999315,40.730088
3/19/2011,1,0,3,16,0,6,0,1,0.5,0.4848,0.31,0.3881,175,129,304,4,6.35089365,13.7,-74.002113,40.739582,-73.971918,40.791899
5/26/2012,2,1,5,7,0,6,0,2,0.62,0.5606,0.88,0.1642,10,44,54,4,1.270983421,6.5,-73.98543,40.736011,-73.982501,40.724802
4/15/2012,2,1,4,18,0,0,0,1,0.7,0.6364,0.42,0.2537,184,295,479,4,0.43100603,5,-73.996148,40.74189,-73.992202,40.739425
11/12/2012,4,1,11,17,1,1,0,1,0.56,0.5303,0.64,0.2836,66,530,596,8,1.232301126,4.5,-74.009137,40.713436,-74.002823,40.723428
5/9/2011,2,0,5,7,0,1,1,1,0.48,0.4697,0.63,0.2537,16,221,237,4,0.975368545,4.9,-74.003985,40.731677,-73.999765,40.723512
10/21/2011,4,0,10,16,0,5,1,1,0.5,0.4848,0.45,0.2537,60,242,302,4,1.448412516,7,-73.966203,40.7675,-73.980915,40.77424
7/12/2012,3,1,7,15,0,4,1,1,0.8,0.7121,0.36,0.194,63,208,271,4,2.191980242,7.3,-74.003919,40.753019,-73.992368,40.735362
11/11/2012,4,1,11,0,0,0,0,1,0.34,0.3485,0.81,0.0896,14,110,124,4,1.620600143,7.5,-74.004736,40.715882,-74.017723,40.705141
6/16/2011,2,0,6,6,0,4,1,3,0.58,0.5455,0.73,0.1642,8,104,112,4,1.113768701,8.5,-73.991467,40.750575,-73.98575,40.741547
9/26/2012,4,1,9,13,0,3,1,1,0.7,0.6515,0.58,0.2239,67,273,340,4,3.734380375,16.5,-73.970323,40.75084,-73.998392,40.724862
10/17/2011,4,0,10,7,0,1,1,2,0.5,0.4848,0.55,0.1642,10,299,309,4,3.375772339,11.5,-73.97927856,40.72343826,-74.00460815,40.74694824
6/26/2012,3,1,6,8,0,2,1,1,0.56,0.5303,0.49,0.3284,34,622,656,8,0.835068939,5,-73.95479584,40.77933502,-73.94493103,40.78008652
6/30/2011,3,0,6,17,0,4,1,1,0.78,0.6818,0.27,0.3582,98,496,594,8,0.922344905,6.9,-73.995781,40.723411,-74.005004,40.71895
10/28/2011,4,0,10,2,0,5,1,1,0.32,0.303,0.66,0.2836,1,3,4,4,0.843435145,3.7,-74.00163,40.730767,-73.997112,40.737533
2/5/2011,1,0,2,4,0,6,0,3,0.22,0.2273,0.93,0.1343,0,8,8,4,1.055380726,6.9,-73.955118,40.768942,-73.963495,40.761887
5/10/2011,2,0,5,17,0,2,1,1,0.64,0.6212,0.33,0,79,532,611,8,1.199956259,10.1,-73.977788,40.771838,-73.9662,40.778113
3/13/2011,1,0,3,13,0,0,0,1,0.46,0.4545,0.38,0.3881,97,124,221,4,5.405568921,16.5,-73.9828,40.745287,-74.01425,40.702935
8/10/2012,3,1,8,10,0,5,1,1,0.66,0.5909,0.89,0.1045,27,166,193,4,3.422425637,15.07,-73.961933,40.795585,-73.962253,40.764817
10/15/2011,4,0,10,8,0,6,0,1,0.46,0.4545,0.59,0.2836,24,101,125,4,1.492137295,7.7,-73.996601,40.736569,-73.982152,40.744322
8/7/2011,3,0,8,20,0,0,0,1,0.72,0.7121,0.84,0.1343,50,133,183,4,12.50709919,24.9,-74.006662,40.73121,-73.92594,40.825588
7/7/2012,3,1,7,13,0,6,0,2,0.96,0.8636,0.31,0.2537,116,244,360,4,2.348577216,7,-73.988425,40.764342,-74.001642,40.745752
12/11/2011,4,0,12,22,0,0,0,1,0.22,0.2727,0.55,0,7,36,43,4,1.934413342,8.5,-73.994128,40.735087,-73.986393,40.751461
12/22/2012,1,1,12,8,0,6,0,1,0.26,0.2121,0.44,0.6119,0,29,29,4,1.574326753,5.7,-73.97383,40.763717,-73.98942,40.771522
12/20/2011,4,0,12,1,0,2,1,1,0.36,0.3788,0.53,0,0,6,6,4,0.833816368,5,-74.01336,40.702272,-74.01699,40.709245
4/12/2012,2,1,4,16,0,4,1,1,0.48,0.4697,0.31,0.2836,54,299,353,4,1.487501337,8.5,-73.95371,40.790813,-73.957015,40.777676
4/17/2011,2,0,4,17,0,0,0,1,0.56,0.5303,0.3,0.4478,143,163,306,4,5.900731771,17,-74.009728,40.705167,-73.970897,40.749307
4/29/2011,2,0,4,14,0,5,1,1,0.6,0.6212,0.35,0.3284,58,190,248,4,2.533577792,8,-73.950688,40.828531,-73.964101,40.80814
7/27/2012,3,1,7,23,0,5,1,1,0.76,0.7273,0.66,0,34,155,189,4,1.653480053,12,-73.995387,40.749482,-73.975789,40.748741
12/27/2012,1,1,12,2,0,4,1,2,0.24,0.197,0.87,0.4478,0,2,2,4,5.125703733,12.5,-73.917399,40.746485,-73.973756,40.763836
2/17/2011,1,0,2,18,0,4,1,2,0.54,0.5152,0.42,0.2836,11,211,222,4,2.520110867,7.5,-73.990815,40.730495,-73.978337,40.751085
1/28/2012,1,1,1,8,0,6,0,1,0.2,0.2273,0.8,0.0896,9,82,91,4,1.753323637,6.9,-74.007443,40.732547,-73.991112,40.742312
4/20/2012,2,1,4,17,0,5,1,1,0.64,0.6212,0.47,0.2836,122,697,819,8,0.590078092,5,-73.98874664,40.74495316,-73.99568176,40.74422073
11/20/2011,4,0,11,3,0,0,0,2,0.4,0.4091,0.66,0.2836,6,31,37,4,3.999122555,10.5,-74.001135,40.730979,-73.984424,40.76463
7/26/2012,3,1,7,19,0,4,1,1,0.9,0.8636,0.45,0.3284,80,534,614,8,2.217729151,7.7,-73.968881,40.764533,-73.985311,40.748956
9/3/2012,3,1,9,4,1,1,0,1,0.66,0.5909,0.89,0.0896,6,5,11,4,1.98626813,11,-73.98105621,40.77426529,-73.95904541,40.78067398
11/8/2012,4,1,11,4,0,4,1,2,0.3,0.2879,0.45,0.2836,1,9,10,4,1.297074886,5.7,-73.992826,40.751271,-73.982786,40.742432
7/6/2012,3,1,7,0,0,5,1,1,0.78,0.7424,0.62,0.1343,39,63,102,4,2.234033394,9,-73.946852,40.775802,-73.96434,40.760703
2/24/2012,1,1,2,15,0,5,1,3,0.4,0.4091,0.87,0.194,11,83,94,4,3.210969327,13.5,-73.950655,40.783282,-73.984365,40.769802
10/23/2012,4,1,10,13,0,2,1,2,0.64,0.6212,0.44,0,59,244,303,4,1.424316877,7.5,-73.976512,40.765277,-73.977672,40.778052
7/24/2012,3,1,7,12,0,2,1,2,0.82,0.7879,0.56,0.2239,60,169,229,4,1.493479944,9,-73.984977,40.752122,-74.000925,40.757982
6/29/2012,3,1,6,22,0,5,1,3,0.82,0.8333,0.63,0.194,34,129,163,4,3.502624227,14,-73.9792099,40.7236824,-74.01746368,40.71139526
6/25/2011,3,0,6,7,0,6,0,1,0.64,0.6212,0.57,0.2836,7,35,42,4,1.309056402,5.7,-73.983052,40.722588,-73.988022,40.733738
5/21/2012,2,1,5,1,0,1,1,3,0.58,0.5455,0.88,0.3582,4,11,15,4,2.442934936,10,-74.002581,40.739572,-73.99458,40.760682
5/2/2012,2,1,5,13,0,3,1,2,0.58,0.5455,0.78,0.194,49,179,228,4,1.179491234,5.7,-73.993452,40.761447,-73.979662,40.759618
11/12/2011,4,0,11,18,0,6,0,1,0.42,0.4242,0.58,0.194,53,150,203,4,4.216160571,9.7,-73.970705,40.761643,-73.992833,40.727647
6/26/2011,3,0,6,20,0,0,0,2,0.7,0.6515,0.48,0.1045,55,158,213,4,6.145503272,14.1,-73.974492,40.751369,-74.010585,40.703364
7/27/2011,3,0,7,23,0,3,1,1,0.74,0.6667,0.45,0.0896,16,93,109,4,0.754014827,7.7,-73.991607,40.76318,-73.982718,40.76239
6/2/2011,2,0,6,12,0,4,1,1,0.76,0.6667,0.25,0.4627,39,193,232,4,0,52,-74.035839,40.74732,-74.035839,40.74732
6/10/2012,2,1,6,11,0,0,0,1,0.76,0.6818,0.45,0.0896,184,315,499,8,4.073443909,11.3,-74.00767,40.732177,-73.974663,40.758932
12/4/2011,4,0,12,1,0,0,0,1,0.3,0.3182,0.75,0.0896,20,54,74,4,3.309128186,8.5,-73.986681,40.725659,-73.977068,40.754504
3/20/2011,1,0,3,8,0,0,0,1,0.28,0.2727,0.56,0.1642,7,30,37,4,2.930751303,12.9,-73.965315,40.790852,-73.978195,40.766375
10/31/2011,4,0,10,18,0,1,1,1,0.4,0.4091,0.66,0.0896,30,392,422,4,0.565383245,9.5,-73.972195,40.765883,-73.967942,40.761951
8/3/2012,3,1,8,4,0,5,1,1,0.66,0.6061,0.83,0.2537,1,11,12,4,2.042069974,9,-73.982272,40.748357,-73.969325,40.763877
11/15/2011,4,0,11,11,0,2,1,2,0.56,0.5303,0.64,0.194,18,116,134,4,2.006133189,10,-73.991797,40.735262,-73.975915,40.748697
7/27/2012,3,1,7,18,0,5,1,1,0.82,0.7576,0.46,0.1642,100,522,622,8,7.601196621,35,-73.95331,40.787772,-73.944352,40.719772
9/24/2011,4,0,9,4,0,6,0,1,0.56,0.5303,0.94,0.1045,1,7,8,4,1.491531267,9,-73.96083,40.77308,-73.978372,40.774907
11/10/2011,4,0,11,4,0,4,1,1,0.38,0.3939,0.94,0.0896,1,2,3,4,2.958013527,17,-73.97339,40.743883,-73.954021,40.766063
7/18/2012,3,1,7,23,0,3,1,1,0.76,0.7121,0.58,0.0896,19,112,131,4,1.107451359,6.1,-74.000122,40.74308,-74.00615,40.734233
11/29/2012,4,1,11,15,0,4,1,1,0.36,0.3333,0.43,0.2836,19,201,220,4,4.619781311,14.5,-73.961598,40.716487,-73.960417,40.674963
7/11/2011,3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420,4,0.481388704,3.7,-73.966957,40.761268,-73.967912,40.765535
7/7/2011,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118,4,8.303373979,32.5,-73.872862,40.774105,-73.970593,40.764393
8/30/2012,3,1,8,3,0,4,1,1,0.62,0.5909,0.73,0,0,5,5,4,1.523554575,5.3,-73.995083,40.739527,-73.999599,40.726264
4/2/2012,2,1,4,0,0,1,1,3,0.44,0.4394,0.82,0.1045,6,11,17,4,3.256207904,11.5,-73.972018,40.750142,-74.006008,40.73622
10/31/2011,4,0,10,22,0,1,1,2,0.36,0.3485,0.76,0.194,8,77,85,4,0.940153143,4,-73.993701,40.741569,-73.987999,40.748834
5/30/2011,2,0,5,23,1,1,0,1,0.7,0.6667,0.84,0.1045,14,34,48,4,2.653486134,10.5,-73.966473,40.7575,-73.993336,40.745051
5/12/2012,2,1,5,21,0,6,0,2,0.6,0.6061,0.6,0.1343,74,156,230,4,9.720693953,17.7,-73.87082,40.773748,-73.808317,40.7003
8/11/2012,3,1,8,12,0,6,0,1,0.76,0.7121,0.58,0.2239,214,332,546,8,0,8,0,0,0,0
3/30/2012,2,1,3,0,0,5,1,1,0.4,0.4091,0.47,0.2985,10,49,59,4,1.68064393,5,-73.971696,40.763378,-73.962035,40.776598
11/7/2012,4,1,11,8,0,3,1,2,0.26,0.2424,0.6,0.2836,18,583,601,8,5.868672261,19,-73.98721,40.729325,-73.931985,40.697207
6/30/2012,3,1,6,0,0,6,0,3,0.64,0.5758,0.89,0.1642,4,65,69,4,2.329444164,8,-73.988492,40.717977,-73.97818,40.737407
9/28/2012,4,1,9,0,0,5,1,3,0.6,0.5455,0.88,0.1642,2,15,17,4,1.873100548,7.3,-73.986588,40.72165,-74.008005,40.717167
1/16/2011,1,0,1,22,0,0,0,2,0.2,0.2121,0.49,0.1343,2,19,21,4,1.800584047,6.5,-73.98213,40.774807,-73.973583,40.789645
7/5/2011,3,0,7,1,0,2,1,1,0.7,0.6515,0.65,0.1045,15,24,39,4,1.382838831,8,-74.002843,40.733692,-73.987882,40.72859
6/6/2012,2,1,6,22,0,3,1,1,0.52,0.5,0.77,0.0896,27,221,248,4,5.469999148,16.5,-73.983837,40.676052,-74.002522,40.723145
12/24/2012,1,1,12,13,0,1,1,3,0.24,0.2576,0.81,0.1045,16,54,70,4,19.85993151,49.57,-73.977023,40.7526,-73.79031,40.643783
3/8/2012,1,1,3,12,0,4,1,2,0.56,0.5303,0.6,0.4478,27,224,251,4,3.673162503,10.5,-73.988006,40.737723,-73.965699,40.766095
9/13/2012,3,1,9,8,0,4,1,1,0.56,0.5303,0.73,0,33,725,758,8,13.33779064,22.5,-73.9882,40.75909,-73.923683,40.86861
4/6/2012,2,1,4,0,0,5,1,1,0.4,0.4091,0.43,0,12,49,61,4,3.140639763,11.5,-73.947472,40.771227,-73.981832,40.760272
12/25/2012,1,1,12,1,1,2,0,2,0.26,0.2576,0.87,0.1642,0,13,13,4,1.265615637,12.5,-73.984723,40.748023,-73.977245,40.757891
7/16/2011,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16,4,0.714625042,5.5,-73.950305,40.785607,-73.943587,40.789532
5/23/2012,2,1,5,19,0,3,1,2,0.62,0.5758,0.83,0.1642,40,336,376,4,1.787315844,6.5,-73.980735,40.747911,-73.97053,40.761998
10/23/2011,4,0,10,11,0,0,0,1,0.46,0.4545,0.72,0.1642,131,202,333,4,6.368367628,16.5,-73.99698639,40.75542831,-73.95319366,40.80210114
3/27/2011,2,0,3,7,0,0,0,3,0.16,0.1667,0.86,0.1642,0,7,7,4,2.904844319,9,-74.00344849,40.73310089,-74.00800323,40.70721436
11/20/2012,4,1,11,16,0,2,1,2,0.42,0.4242,0.62,0.0896,60,335,395,4,2.078706027,8.9,-73.9578,40.768003,-73.981712,40.763392
12/21/2012,1,1,12,19,0,5,1,1,0.28,0.2576,0.45,0.2985,5,148,153,4,3.763336087,10.9,-73.983735,40.746697,-73.954411,40.772219
4/10/2011,2,0,4,21,0,0,0,1,0.44,0.4394,0.88,0.194,18,77,95,4,2.752503073,8.9,-73.98103,40.729782,-73.993011,40.752803
8/22/2011,3,0,8,0,0,1,1,1,0.68,0.6364,0.79,0.1642,18,22,40,4,1.790117352,8.5,-73.963115,40.774034,-73.975251,40.760823
6/9/2012,2,1,6,0,0,6,0,1,0.64,0.6212,0.53,0.1045,54,152,206,4,2.096053189,17,-73.962458,40.759027,-73.986199,40.753397
3/20/2012,1,1,3,22,0,2,1,1,0.54,0.5152,0.77,0,32,156,188,4,6.15517051,12.5,-74.003848,40.720855,-73.98098,40.668304
10/21/2011,4,0,10,6,0,5,1,1,0.36,0.3485,0.71,0.1642,7,78,85,4,20.44742321,52.5,-73.982265,40.762062,-73.76855,40.675135
2/15/2011,1,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,0,1,1,4,6.521495247,16,-74.005677,40.745547,-73.962663,40.794295
4/5/2011,2,0,4,2,0,2,1,2,0.54,0.5152,0.73,0.3284,0,5,5,4,2.005059391,8,-73.98548889,40.74728012,-74.00767517,40.74076843
5/10/2012,2,1,5,1,0,4,1,2,0.48,0.4697,0.88,0.1343,2,9,11,4,8.817314188,17.3,-73.950972,40.785633,-74.01024,40.720302
8/14/2011,3,0,8,20,0,0,0,1,0.7,0.6667,0.84,0.1642,67,126,193,4,2.285514316,5.7,-74.00844,40.711253,-74.001313,40.731078
5/24/2011,2,0,5,16,0,2,1,1,0.66,0.6212,0.69,0.194,52,225,277,4,1.116724421,5.5,-73.98091125,40.74206543,-73.97698975,40.75165558
2/7/2012,1,1,2,6,0,2,1,1,0.32,0.303,0.45,0.2985,2,98,100,4,6.661289707,16.5,-73.974938,40.762091,-74.003309,40.706195
10/10/2011,4,0,10,0,1,1,0,1,0.5,0.4848,0.94,0,11,42,53,4,5.190192737,12.9,-73.980755,40.680558,-73.98911,40.726788
2/26/2012,1,1,2,5,0,0,0,1,0.22,0.2121,0.44,0.2239,0,5,5,4,3.186944165,10.1,-73.991245,40.739058,-73.992972,40.76768
9/17/2011,3,0,9,15,0,6,0,2,0.52,0.5,0.72,0.194,148,206,354,4,1.534180907,9.5,-73.992583,40.730417,-74.005352,40.740247
1/21/2012,1,1,1,2,0,6,0,3,0.14,0.2121,0.86,0,1,25,26,4,0.982854007,4.5,-73.979872,40.749027,-73.976553,40.757498
3/11/2011,1,0,3,19,0,5,1,1,0.3,0.2727,0.56,0.3284,7,111,118,4,0.967742469,6.5,-73.971541,40.764009,-73.975937,40.755971
9/14/2012,3,1,9,3,0,5,1,1,0.54,0.5152,0.77,0,5,9,14,4,8.383688513,21.5,-74.00109863,40.72149658,-73.95943451,40.65306473
3/14/2011,1,0,3,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80,107,4,1.047851661,8,-73.975189,40.759095,-73.98051,40.76761
6/26/2012,3,1,6,16,0,2,1,1,0.72,0.6364,0.26,0.4925,67,349,416,4,1.220869076,4.9,-74.003018,40.73978,-73.991533,40.733091
7/10/2011,3,0,7,7,0,0,0,1,0.7,0.6515,0.7,0.0896,27,38,65,4,0.917278713,5.7,-73.991037,40.750049,-73.980438,40.75193
5/31/2012,2,1,5,17,0,4,1,1,0.76,0.6667,0.31,0.1642,85,742,827,8,5.965095969,15.3,-73.949477,40.768018,-74.003118,40.733022
1/26/2012,1,1,1,3,0,4,1,2,0.28,0.303,0.75,0.0896,1,5,6,4,4.0227347,14.9,-73.992214,40.758864,-73.9938,40.722718
10/2/2011,4,0,10,2,0,0,0,3,0.34,0.303,0.87,0.2985,3,27,30,4,1.141055369,7,-73.999998,40.727087,-73.992448,40.735602
11/23/2011,4,0,11,3,0,3,1,3,0.5,0.4848,0.94,0.3582,1,2,3,4,14.04982457,35.5,-73.863891,40.770005,-74.007246,40.705533
12/31/2011,1,0,12,5,0,6,0,2,0.36,0.3485,0.76,0.2239,1,0,1,4,2.28621889,8.5,-73.954598,40.78676,-73.966013,40.768112
2/28/2011,1,0,2,18,0,1,1,3,0.46,0.4545,0.94,0.194,4,127,131,4,1.048614539,4.5,-73.994143,40.751193,-73.988897,40.759742
4/1/2011,2,0,4,12,0,5,1,1,0.34,0.303,0.53,0.3582,15,80,95,4,0.678748624,4.1,-73.982279,40.768364,-73.985968,40.762939
1/12/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,4,4.847690113,11.7,-73.981496,40.781004,-73.99592,40.738813
5/26/2011,2,0,5,4,0,4,1,1,0.6,0.5455,0.88,0,0,2,2,4,10.1851652,23,-73.997728,40.746099,-73.947656,40.829451
