fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance
5.7,-73.993452,40.761447,-73.979662,40.759618,5,1.179491234
9.7,-73.970705,40.761643,-73.992833,40.727647,2,4.216160571
14.1,-73.974492,40.751369,-74.010585,40.703364,1,6.145503272
7.7,-73.991607,40.76318,-73.982718,40.76239,2,0.754014827
52,-74.035839,40.74732,-74.035839,40.74732,1,0
11.3,-74.00767,40.732177,-73.974663,40.758932,1,4.073443909
8.5,-73.986681,40.725659,-73.977068,40.754504,1,3.309128186
12.9,-73.965315,40.790852,-73.978195,40.766375,6,2.930751303
9.5,-73.972195,40.765883,-73.967942,40.761951,1,0.565383245
9,-73.982272,40.748357,-73.969325,40.763877,1,2.042069974
10,-73.991797,40.735262,-73.975915,40.748697,6,2.006133189
35,-73.95331,40.787772,-73.944352,40.719772,2,7.601196621
9,-73.96083,40.77308,-73.978372,40.774907,1,1.491531267
17,-73.97339,40.743883,-73.954021,40.766063,1,2.958013527
6.1,-74.000122,40.74308,-74.00615,40.734233,5,1.107451359
14.5,-73.961598,40.716487,-73.960417,40.674963,2,4.619781311
3.7,-73.966957,40.761268,-73.967912,40.765535,1,0.481388704
32.5,-73.872862,40.774105,-73.970593,40.764393,2,8.303373979
5.3,-73.995083,40.739527,-73.999599,40.726264,3,1.523554575
11.5,-73.972018,40.750142,-74.006008,40.73622,5,3.256207904
4,-73.993701,40.741569,-73.987999,40.748834,1,0.940153143
10.5,-73.966473,40.7575,-73.993336,40.745051,1,2.653486134
17.7,-73.87082,40.773748,-73.808317,40.7003,1,9.720693953
8,0,0,0,0,2,0
5,-73.971696,40.763378,-73.962035,40.776598,1,1.68064393
19,-73.98721,40.729325,-73.931985,40.697207,1,5.868672261
8,-73.988492,40.717977,-73.97818,40.737407,1,2.329444164
7.3,-73.986588,40.72165,-74.008005,40.717167,2,1.873100548
6.5,-73.98213,40.774807,-73.973583,40.789645,5,1.800584047
8,-74.002843,40.733692,-73.987882,40.72859,1,1.382838831
16.5,-73.983837,40.676052,-74.002522,40.723145,1,5.469999148
49.57,-73.977023,40.7526,-73.79031,40.643783,2,19.85993151
10.5,-73.988006,40.737723,-73.965699,40.766095,1,3.673162503
22.5,-73.9882,40.75909,-73.923683,40.86861,5,13.33779064
11.5,-73.947472,40.771227,-73.981832,40.760272,1,3.140639763
12.5,-73.984723,40.748023,-73.977245,40.757891,2,1.265615637
5.5,-73.950305,40.785607,-73.943587,40.789532,1,0.714625042
6.5,-73.980735,40.747911,-73.97053,40.761998,1,1.787315844
16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,3,6.368367628
9,-74.00344849,40.73310089,-74.00800323,40.70721436,1,2.904844319
8.9,-73.9578,40.768003,-73.981712,40.763392,1,2.078706027
10.9,-73.983735,40.746697,-73.954411,40.772219,1,3.763336087
8.9,-73.98103,40.729782,-73.993011,40.752803,1,2.752503073
8.5,-73.963115,40.774034,-73.975251,40.760823,1,1.790117352
17,-73.962458,40.759027,-73.986199,40.753397,1,2.096053189
12.5,-74.003848,40.720855,-73.98098,40.668304,1,6.15517051
52.5,-73.982265,40.762062,-73.76855,40.675135,1,20.44742321
16,-74.005677,40.745547,-73.962663,40.794295,1,6.521495247
8,-73.98548889,40.74728012,-74.00767517,40.74076843,1,2.005059391
17.3,-73.950972,40.785633,-74.01024,40.720302,1,8.817314188
5.7,-74.00844,40.711253,-74.001313,40.731078,1,2.285514316
5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,1,1.116724421
16.5,-73.974938,40.762091,-74.003309,40.706195,2,6.661289707
12.9,-73.980755,40.680558,-73.98911,40.726788,2,5.190192737
10.1,-73.991245,40.739058,-73.992972,40.76768,1,3.186944165
9.5,-73.992583,40.730417,-74.005352,40.740247,1,1.534180907
4.5,-73.979872,40.749027,-73.976553,40.757498,5,0.982854007
6.5,-73.971541,40.764009,-73.975937,40.755971,1,0.967742469
21.5,-74.00109863,40.72149658,-73.95943451,40.65306473,1,8.383688513
8,-73.975189,40.759095,-73.98051,40.76761,1,1.047851661
4.9,-74.003018,40.73978,-73.991533,40.733091,1,1.220869076
5.7,-73.991037,40.750049,-73.980438,40.75193,2,0.917278713
15.3,-73.949477,40.768018,-74.003118,40.733022,5,5.965095969
14.9,-73.992214,40.758864,-73.9938,40.722718,1,4.0227347
7,-73.999998,40.727087,-73.992448,40.735602,1,1.141055369
35.5,-73.863891,40.770005,-74.007246,40.705533,1,14.04982457
8.5,-73.954598,40.78676,-73.966013,40.768112,1,2.28621889
4.5,-73.994143,40.751193,-73.988897,40.759742,1,1.048614539
4.1,-73.982279,40.768364,-73.985968,40.762939,1,0.678748624
11.7,-73.981496,40.781004,-73.99592,40.738813,1,4.847690113
23,-73.997728,40.746099,-73.947656,40.829451,1,10.1851652
5.7,-73.982357,40.762498,-73.97321,40.755345,2,1.107671326
5.3,-73.96707,40.769178,-73.954895,40.77821,1,1.435626213
10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,1,1.375294556
4.9,-73.982095,40.774001,-73.975373,40.787111,1,1.564273957
6.5,-73.98353,40.766992,-73.986255,40.779708,4,1.432903034
11.3,-73.981154,40.729204,-74.007407,40.74851,2,3.083295776
11.5,-73.963511,40.761732,-73.917488,40.739776,1,4.5829328
5.3,-73.983415,40.761844,-73.990414,40.756375,2,0.847214753
5.7,-74.006055,40.733166,-74.002895,40.74553,1,1.400794422
8.1,-73.952198,40.788107,-73.980767,40.774995,1,2.813683855
6.1,-74.008083,40.719238,-73.99832,40.737977,1,2.240909089
9.3,-73.995636,40.746573,-73.984437,40.767145,1,2.475132685
4.5,-73.972072,40.755692,-73.972082,40.755727,2,0.003983178
5.7,-73.99049,40.755982,-73.974202,40.75421,4,1.386465297
16.5,-73.95485,40.76542,-74.00751,40.73877,2,5.336254248
17,-73.954462,40.764046,-73.994593,40.729272,2,5.137801893
24.5,-74.01278,40.707952,-73.997932,40.760632,6,5.991734371
6.1,-74.005278,40.735298,-73.986698,40.729892,1,1.677506167
6,-74.004935,40.729625,-74.016156,40.71741,1,1.655511753
6.5,-73.998488,40.726303,-73.998488,40.726303,1,0
3.7,0,0,0,0,5,0
4.5,-73.9265,40.765577,-73.937897,40.76451,3,0.967444861
27,-73.987285,40.718622,-73.959295,40.778482,1,7.063627773
16,-73.996652,40.744495,-73.980253,40.737635,1,1.578678802
16.1,-73.959222,40.763282,-73.9633,40.716935,1,5.16661238
15.7,-73.974895,40.751455,-73.981754,40.783542,2,3.615502089
26.9,-73.863072,40.768622,-73.982145,40.736167,6,10.66286198
5.5,-73.989692,40.735497,-73.982012,40.739392,1,0.778879587
6,-74.00031,40.747961,-73.993636,40.757229,1,1.174288125
7.7,-74.00145,40.717487,-74.017455,40.709785,1,1.598357699
12.9,-73.985185,40.72777,-73.980605,40.759143,1,3.510893442
11.3,-73.993973,40.746577,-74.00506,40.709365,1,4.243275915
42.5,-73.795677,40.807722,-73.978683,40.724365,2,17.99032135
5.7,-73.98637,40.74738,-73.975567,40.744572,2,0.962446039
5.3,-73.948001,40.77854,-73.958566,40.778483,2,0.889888089
10.5,-73.954108,40.766901,-73.984133,40.743475,1,3.631738652
7.3,-73.994009,40.76144,-73.972811,40.792574,1,3.896226425
4.5,-73.995331,40.739986,-73.987655,40.736707,1,0.742651522
12.5,-73.982332,40.768633,-73.983343,40.744372,1,2.699891084
16.5,-73.9952,40.731697,-73.94977,40.780347,1,6.62829109
4.9,-74.002707,40.72664,-73.991825,40.72722,2,0.919542876
4.1,-73.990953,40.733067,-73.996235,40.72557,1,0.945300704
15.5,-73.985132,40.76853,-74.002285,40.730008,1,4.522016719
11,-73.97221375,40.76557159,-73.97958374,40.73646927,1,3.296078117
4.9,-73.998287,40.72749,-73.989854,40.735239,2,1.117200494
11.3,-73.980196,40.726966,-73.956413,40.77547,1,5.755264606
7.3,-73.983758,40.74643,-73.963557,40.774088,1,3.515798807
14.9,-73.955268,40.782767,-73.932382,40.794812,6,2.347251988
30.9,-73.981942,40.763977,-73.870455,40.773607,5,9.452551134
6.1,-73.98972,40.75238,-74.007553,40.743197,1,1.817001348
3.3,-73.995802,40.749905,-73.994543,40.750907,1,0.153870639
4.1,-73.991863,40.754275,-73.983796,40.753213,1,0.689906046
12,-73.973857,40.764185,-73.994435,40.750242,3,2.326211301
9,-73.991485,40.754599,-74.00497,40.751693,1,1.181325716
2.5,-73.989142,40.720105,-73.988777,40.720662,1,0.069175259
8.9,-73.98948,40.743287,-73.965692,40.754512,1,2.361549031
10.5,-73.978991,40.72375,-73.963046,40.711855,1,1.886136527
5.7,-74.000552,40.727492,-74.005037,40.719123,1,1.004730228
7,-74.002462,40.718762,-74.007071,40.705536,2,1.521583233
12,-73.984997,40.768466,-73.944564,40.800466,1,4.925940205
49.57,-73.982483,40.75674,-73.789985,40.64691,1,20.31573375
8.5,0,0,0,0,2,0
4.5,-73.947035,40.776027,-73.955498,40.764307,1,1.485815257
7.3,-73.977897,40.762802,-73.99153,40.750252,5,1.807773055
5.3,-73.986402,40.754723,-73.998898,40.739248,1,2.017829897
6.9,-73.967425,40.755712,-73.983035,40.734913,5,2.661306376
9.3,-73.971088,40.792648,-73.968405,40.769673,1,2.565476979
6.7,-73.959669,40.779718,-73.976259,40.788413,1,1.699291439
7.3,-73.979345,40.77663,-73.973842,40.757074,1,2.224062384
9,-73.98088,40.779967,-73.953747,40.78777,1,2.444438075
13,-74.008125,40.738935,-73.980522,40.759953,2,3.297802882
19,-73.988834,40.76428,-73.941405,40.838664,1,9.187061932
5.5,-73.976474,40.765048,-73.964665,40.762986,1,1.020957405
8.1,-73.996068,40.732605,-73.980675,40.761862,1,3.503239862
9.3,-73.973211,40.760752,-73.974265,40.788281,1,3.063332876
18,-73.997845,40.721235,-73.988257,40.764125,1,4.83859059
12,-73.984227,40.766897,-73.96239,40.776037,1,2.101719906
7.3,-73.968534,40.752603,-73.992625,40.742916,1,2.298292303
4.9,-73.95554,40.781958,-73.962196,40.772095,2,1.232009965
16.1,-73.789506,40.64704,-73.815622,40.680364,1,4.31212372
12.9,-73.978602,40.76412,-74.008858,40.715637,2,5.965205389
4,-73.9619751,40.7761116,-73.95484924,40.77407455,1,0.641567564
15.3,-74.006636,40.751407,-73.954979,40.765281,1,4.617762457
11.7,-73.954497,40.769857,-73.984315,40.746007,1,3.653636646
25.3,-74.001343,40.74132,-73.928619,40.864267,1,14.98361076
8.9,-73.993112,40.719911,-73.956729,40.720723,1,3.068468449
6,-73.978778,40.753502,-73.973247,40.748147,1,0.756301196
6,-73.99578,40.716218,-74.009132,40.72078,1,1.234712046
6.5,-74.003665,40.736906,-73.997843,40.724187,1,1.497424725
7.5,-73.97733,40.74948,-73.987669,40.732709,1,2.058895068
16.5,-74.00399017,40.74797821,-73.98319244,40.75632858,1,1.98336412
4.9,-73.983249,40.734655,-73.991278,40.738918,1,0.826285305
9.7,-73.962981,40.766443,-73.98893,40.731434,1,4.465959468
7.7,-73.97935,40.784608,-73.963933,40.808145,1,2.922208976
19,-73.968675,40.799103,-73.935898,40.849863,2,6.284003203
16.9,-73.990057,40.756307,-73.949604,40.834464,1,9.336946236
10.5,-74.002198,40.739608,-73.987342,40.720295,2,2.486501884
8.9,-73.99633,40.753225,-73.978895,40.766963,3,2.119606343
7.5,-73.995892,40.746454,-73.995892,40.746454,1,0
5.5,-74.005583,40.740728,-74.003423,40.748705,1,0.905758979
10.9,-73.964958,40.775261,-73.949661,40.809689,1,4.040274621
8.1,0,0,0,0,4,0
5.7,-73.967598,40.756242,-73.953277,40.76833,1,1.806514125
18.1,-74.008134,40.748631,-73.952349,40.780512,2,5.88739753
10.9,-73.95394,40.781298,-73.994423,40.75014,5,4.862325697
8.9,-73.939093,40.805102,-73.956073,40.771995,5,3.95038198
13.5,-73.981627,40.78042,-74.008465,40.734012,2,5.635505074
5,-74.00269,40.739438,-73.994579,40.75057,2,1.414340249
5.3,-73.958749,40.781019,-73.945876,40.778165,1,1.129762134
7.7,-73.98779,40.721226,-73.992425,40.735723,1,1.659153627
9,-73.969465,40.79798,-73.982315,40.776767,1,2.595851264
16.1,-73.988568,40.732097,-73.957498,40.742657,1,2.869945045
4.9,-73.966597,40.794345,-73.965682,40.803808,2,1.055383844
5.5,-73.999432,40.749066,-73.995077,40.738264,1,1.256306222
57.33,-73.781127,40.645007,-73.981802,40.762515,1,21.38149769
8.5,-73.956606,40.771111,-73.977111,40.776811,3,1.839894771
9.5,-73.981932,40.777668,-73.960058,40.809688,1,4.009703354
7.5,-73.95310211,40.7887001,-73.95677948,40.80590439,1,1.938520292
6.9,-73.982432,40.745747,-73.982432,40.745747,1,0
7.5,-73.991995,40.74499,-73.986237,40.729637,2,1.77532511
8.1,-73.988988,40.777013,-73.997445,40.760155,1,2.005888635
6.1,-74.006642,40.738927,-74.010828,40.717907,3,2.364525531
5.7,-73.966612,40.759278,-73.975773,40.755462,1,0.880863821
14.1,-73.987365,40.738572,-73.977218,40.775352,1,4.179409989
5.7,-73.989807,40.74123,-73.993917,40.726492,1,1.675506062
7,-73.95906,40.781061,-73.96206,40.768604,1,1.408444368
12,-73.985652,40.72212,-73.970955,40.751952,1,3.541864255
11.5,-73.95511627,40.76898956,-73.98423767,40.74843979,1,3.35329609
12.1,-73.870936,40.773703,-73.914269,40.753681,1,4.2763286
26.67,-73.958063,40.760414,-73.861443,40.768181,1,8.185537621
4.5,-73.98674,40.755362,-73.995713,40.764137,1,1.234575271
10.1,-73.984556,40.742882,-73.959081,40.763551,1,3.145310797
7.7,-73.981019,40.781874,-73.981997,40.756597,1,2.812763304
25,-73.95166,40.772657,-74.010583,40.721405,2,7.559944189
19,-73.97402,40.762828,-73.940839,40.726467,1,4.916913309
14,-73.988594,40.753364,-73.989319,40.723218,1,3.353691218
5,-73.987888,40.721048,-73.983132,40.731187,1,1.19689763
43.5,-73.98020935,40.78373337,-74.01134491,40.64415741,1,15.74537042
8,-74.01072693,40.71009064,-73.99810028,40.72290039,1,1.778567785
8.7,-73.977984,40.754546,-73.958947,40.779093,4,3.166510908
3.7,-73.970892,40.755915,-73.966747,40.760517,1,0.619663371
20.5,-73.965723,40.758641,-73.937824,40.855636,1,11.04146627
34,-73.97489929,40.75109482,-73.90854645,40.8818779,0,15.58245692
52.83,-73.8730545,40.774086,-73.98272705,40.77149582,1,9.24275101
6.1,-73.978945,40.76707,-73.977897,40.783568,1,1.837191764
8.5,-73.976877,40.759192,-73.991685,40.74981,1,1.626577673
20,-73.893177,40.790756,-73.892578,40.788483,1,0.257808611
10.5,-73.985881,40.7383,-73.96499,40.775237,1,4.469671452
26.5,-73.776747,40.645265,-73.813803,40.709035,1,7.751366499
8,-73.96178436,40.7595787,-73.97894287,40.7726059,4,2.046724849
10.6,-73.994279,40.690409,-74.016739,40.709063,1,2.809332838
4.5,-73.965372,40.759256,-73.97487,40.752373,1,1.107503602
9.7,-73.977829,40.788979,-73.967935,40.760508,1,3.274649106
20.5,-73.968619,40.766432,-74.008559,40.704591,1,7.658077301
9.3,-73.982229,40.731822,-73.980239,40.760162,1,3.156710886
18.5,-74.005385,40.707002,-73.992793,40.750742,1,4.979622933
5,-73.982751,40.762738,-73.978354,40.764564,2,0.422459184
34,-73.863506,40.769985,-73.97582,40.765446,1,9.474945572
23.5,-73.992028,40.75497,-73.912663,40.780157,1,7.24906902
4.5,-73.980909,40.774585,-73.98136,40.779419,3,0.539025257
8,-73.985217,40.742177,-73.99998,40.726917,1,2.104585029
26.5,-73.977765,40.766177,-73.977982,40.766937,5,0.086488698
5.5,-74.004822,40.741812,-74.007312,40.733577,2,0.939709817
6.1,-73.98795,40.757852,-73.988227,40.749963,1,0.877802497
4.9,-73.970442,40.764695,-73.961907,40.765392,4,0.723196525
5.3,-73.993085,40.752002,-73.980337,40.76483,1,1.785923363
8.1,-73.99097,40.742158,-73.977728,40.72673,1,2.047066487
20.33,-73.994718,40.750306,-73.950511,40.728566,1,4.441598517
4.5,-73.955282,40.768865,-73.949683,40.776472,1,0.968692475
7,-74.002792,40.760515,-74.004415,40.741973,1,2.066952738
7.7,-73.987145,40.722568,-74.005402,40.739583,1,2.439237262
7.3,-73.990575,40.746117,-74.003227,40.751447,1,1.219877276
33.07,-73.862764,40.769064,-73.984033,40.752842,2,10.37501396
36.5,-73.873068,40.774183,-73.978847,40.762062,5,9.012328238
5,-73.99436,40.72039,-73.98577,40.72304,2,0.781826749
23.5,-73.958585,40.775615,-74.00048,40.737611,1,5.507186524
6.1,-73.97985,40.786315,-73.985068,40.774133,1,1.424492998
11,-73.956597,40.777432,-73.980035,40.763175,1,2.532374344
6,-73.96826,40.76514,-73.961115,40.774882,6,1.239538355
11.3,-73.975868,40.790142,-74.006695,40.751278,5,5.042840456
8.1,-73.990397,40.75103,-73.981137,40.764718,1,1.710773557
8.9,-74.000763,40.729744,-73.974662,40.749159,3,3.082583544
4.5,-73.99784,40.68295,-73.980198,40.676842,1,1.635897138
11,-73.978836,40.764745,-73.984774,40.745978,1,2.146570992
8.5,-73.992108,40.764203,-73.973,40.762695,1,1.618502608
8.5,0,0,0,0,1,0
8.1,-73.978916,40.78712,-73.957307,40.783588,1,1.861809968
6.9,-73.996268,40.738123,-73.98238,40.73617,1,1.190469773
6,-73.971462,40.761332,-73.980797,40.768002,1,1.081152661
5.3,-73.988927,40.760223,-73.991474,40.750591,1,1.092647618
6.1,-73.980068,40.743103,-73.991181,40.750228,1,1.226806357
9.5,-73.995776,40.748921,-73.968821,40.764391,2,2.849352546
11.5,-73.97941,40.766107,-74.003015,40.750522,1,2.638257378
17,-74.01294708,40.70524216,-73.98070526,40.7422142,6,4.929373845
5.3,-73.978002,40.778607,-73.970662,40.788625,1,1.274290637
10,-73.995883,40.743785,-73.990057,40.767137,1,2.643417028
15.5,-73.957675,40.717887,-73.942583,40.686397,1,3.726656954
6.9,-73.977757,40.762991,-73.983801,40.779518,1,1.907496063
18.1,-73.986592,40.761807,-74.010659,40.704133,1,6.7281434
15.5,-73.99411774,40.75117874,-73.97511292,40.75645828,1,1.705608984
10.1,-73.982334,40.722411,-73.964907,40.755644,1,3.977590097
21.5,-73.955235,40.773077,-74.007955,40.71711,6,7.647930587
8.5,-73.99413,40.76668,-73.98861,40.75705,1,1.167742499
7.3,-73.988883,40.73405,-73.992385,40.724842,1,1.065892832
2.5,0,0,0,0,1,0
8.5,-73.958118,40.773086,-73.946941,40.779994,1,1.215200374
6.1,-73.970447,40.75779,-73.969687,40.769923,5,1.351069542
14.1,-73.981097,40.764483,-73.99185,40.722037,1,4.807439404
6,-73.9742,40.762693,-73.979824,40.755547,1,0.925366597
8.5,-73.958823,40.783588,-73.978697,40.777533,1,1.804301367
8,-73.9879303,40.72850037,-74.00728607,40.72747803,1,1.635489383
5.3,-73.971913,40.75925,-73.962905,40.77216,1,1.624165292
10.5,-73.978389,40.757757,-73.980442,40.733626,1,2.689656905
5.5,-73.97077942,40.75881577,-73.97015381,40.74894333,1,1.099373954
8.1,-73.960853,40.761557,-73.976335,40.748361,1,1.963685285
13,0,0,0,0,1,0
8.5,-73.99476,40.765585,-73.996026,40.758698,1,0.773429447
6.1,-73.953316,40.767588,-73.971527,40.757499,1,1.900846467
12.9,-73.975224,40.765201,-73.998754,40.728,1,4.588409863
10,-73.979022,40.777667,-73.992172,40.721555,5,6.338928292
8.5,-74.005547,40.745687,-74.011247,40.728733,6,1.946018152
4.9,-73.954665,40.773395,-73.94686,40.776093,1,0.722688604
6,-73.964483,40.764431,-73.956576,40.779852,1,1.840052907
5,-73.98214,40.772705,-73.988691,40.774325,1,0.58049234
12,-73.844904,40.736318,-73.844904,40.736318,1,0
13.5,-73.98265,40.753748,-74.00793,40.741922,1,2.503655446
33.83,-73.97330475,40.7563858,-73.87244415,40.77430725,1,8.727633558
25.7,-73.991729,40.760501,-73.861246,40.767619,1,11.02114569
13.7,-73.992128,40.739535,-73.95814,40.768797,3,4.335320459
10.5,-73.997265,40.719963,-73.994268,40.754212,1,3.817875226
5.7,-73.953871,40.766331,-73.962465,40.774757,1,1.184261213
9,-73.993372,40.736177,-73.978277,40.75786,2,2.72668219
22.5,-73.98071,40.782635,-74.00204,40.719425,1,7.256930219
7.5,-73.954463,40.769887,-73.961627,40.77936,1,1.214242473
14.1,-73.992131,40.724066,-73.98057,40.762877,1,4.425514829
9.3,-73.972108,40.759308,-73.999263,40.761322,1,2.298770563
4,-73.990366,40.757343,-73.985373,40.760604,1,0.555456126
5.5,-73.99223,40.725887,-73.993782,40.735277,1,1.052608492
9.3,-73.975782,40.74727,-73.96611,40.762933,1,1.923371689
7.3,-73.999627,40.743547,-73.98927,40.756862,2,1.719032293
4.5,-73.988446,40.770843,-73.985985,40.777708,1,0.791230843
13,-73.98206,40.772705,-73.956213,40.771777,1,2.179683933
5.7,-73.966422,40.767587,-73.973363,40.75827,2,1.189925401
8,-74.005382,40.749044,-73.99412,40.761185,1,1.650489321
