instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,fare_amount,passenger_count,distance
8308,12/17/2011,4,0,12,19,0,6,0,3,0.24,0.2121,0.65,0.3284,11,95,106,22.54,1,6.705655792
10562,3/21/2012,2,1,3,4,0,3,1,2,0.5,0.4848,0.88,0.1343,0,4,4,31.9,3,9.406247564
13681,7/29/2012,3,1,7,5,0,0,0,1,0.62,0.5909,0.78,0.194,3,14,17,5.7,2,1.382022218
16176,11/11/2012,4,1,11,17,0,0,0,1,0.54,0.5152,0.45,0.1642,151,342,493,18.1,1,7.15274751
14018,8/12/2012,3,1,8,6,0,0,0,1,0.64,0.6061,0.65,0.1642,2,14,16,58,1,12.78606826
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,4.5,1,0.806952321
896,2/9/2011,1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537,1,87,88,5.3,1,0.952099632
16584,11/28/2012,4,1,11,17,0,3,1,1,0.34,0.3333,0.31,0.1343,17,546,563,9,6,2.344538249
3105,5/14/2011,2,0,5,6,0,6,0,2,0.5,0.4848,0.88,0.1045,2,9,11,9.8,1,3.587116437
8458,12/24/2011,1,0,12,1,0,6,0,2,0.32,0.3485,0.66,0,1,15,16,8.1,1,1.644084012
14698,9/9/2012,3,1,9,14,0,0,0,1,0.72,0.6515,0.3,0.2836,232,415,647,10.9,2,5.015509814
16246,11/14/2012,4,1,11,15,0,3,1,1,0.36,0.3333,0.43,0.2836,32,228,260,17.5,1,5.750063348
6922,10/21/2011,4,0,10,0,0,5,1,1,0.4,0.4091,0.62,0.2537,8,42,50,12.1,1,5.458583507
10441,3/16/2012,1,1,3,3,0,5,1,2,0.4,0.4091,0.87,0.2836,0,3,3,5.3,1,0.947333363
11943,5/17/2012,2,1,5,19,0,4,1,1,0.64,0.6212,0.31,0.194,86,451,537,6.9,1,2.549415254
10167,3/4/2012,1,1,3,16,0,0,0,1,0.36,0.3182,0.29,0.4925,68,231,299,4.5,1,0.993049379
3251,5/20/2011,2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0,41,476,517,3.3,1,0.461998457
16354,11/19/2012,4,1,11,3,0,1,1,2,0.36,0.3485,0.66,0.2239,0,2,2,3.3,5,0.5505
799,2/5/2011,1,0,2,17,0,6,0,2,0.24,0.2121,1,0.2836,14,64,78,9,1,1.648400531
4714,7/20/2011,3,0,7,7,0,3,1,2,0.7,0.6667,0.84,0.1045,27,276,303,9.7,1,2.500100209
8143,12/10/2011,4,0,12,22,0,6,0,1,0.22,0.2273,0.41,0.1343,7,88,95,5.5,3,1.014030236
10451,3/16/2012,1,1,3,13,0,5,1,2,0.46,0.4545,0.77,0.0896,52,208,260,8,1,2.285802518
2001,3/29/2011,2,0,3,5,0,2,1,1,0.22,0.2121,0.37,0.2537,0,8,8,7.5,1,0.207132956
6958,10/22/2011,4,0,10,12,0,6,0,1,0.46,0.4545,0.55,0.0896,132,211,343,25.5,4,11.60741665
4909,7/28/2011,3,0,7,10,0,4,1,1,0.8,0.7576,0.55,0.2836,30,86,116,15.3,1,5.045606095
7524,11/15/2011,4,0,11,2,0,2,1,1,0.56,0.5303,0.64,0.2537,7,8,15,34.67,1,9.637378863
1414,3/4/2011,1,0,3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1,0,1,9.7,4,1.691394407
4236,6/30/2011,3,0,6,9,0,4,1,1,0.7,0.6364,0.42,0.2239,33,227,260,13.7,2,6.35089365
13153,7/7/2012,3,1,7,5,0,6,0,1,0.74,0.7121,0.74,0.194,2,12,14,6.5,1,1.270983421
6459,10/1/2011,4,0,10,16,0,6,0,2,0.4,0.4091,0.76,0.2985,58,165,223,5,6,0.43100603
298,1/13/2011,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64,4.5,3,1.232301126
4156,6/27/2011,3,0,6,1,0,1,1,2,0.62,0.5909,0.78,0.1343,4,11,15,4.9,1,0.975368545
7610,11/18/2011,4,0,11,16,0,5,1,1,0.34,0.3333,0.29,0.1343,19,190,209,7,6,1.448412516
13349,7/15/2012,3,1,7,9,0,0,0,2,0.72,0.697,0.79,0,58,163,221,7.3,1,2.191980242
8196,12/13/2011,4,0,12,3,0,2,1,1,0.18,0.2424,0.8,0,0,3,3,7.5,1,1.620600143
4439,7/8/2011,3,0,7,20,0,5,1,1,0.66,0.6061,0.83,0.1642,30,220,250,8.5,4,1.113768701
17349,12/30/2012,1,1,12,17,0,0,0,1,0.26,0.2273,0.41,0.3284,26,97,123,16.5,6,3.734380375
3698,6/7/2011,2,0,6,23,0,2,1,1,0.68,0.6364,0.79,0.1045,18,72,90,11.5,6,3.375772339
12000,5/20/2012,2,1,5,4,0,0,0,1,0.52,0.5,0.68,0.0896,2,14,16,5,1,0.835068939
4462,7/9/2011,3,0,7,19,0,6,0,1,0.76,0.697,0.55,0.1642,128,178,306,6.9,2,0.922344905
3417,5/27/2011,2,0,5,6,0,5,1,1,0.64,0.6061,0.69,0.0896,8,73,81,3.7,1,0.843435145
10709,3/27/2012,2,1,3,7,0,2,1,1,0.22,0.2273,0.37,0.194,9,277,286,6.9,2,1.055380726
5981,9/11/2011,3,0,9,17,0,0,0,1,0.72,0.6667,0.51,0.1343,152,228,380,10.1,2,1.199956259
321,1/14/2011,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0,0,68,68,16.5,1,5.405568921
3331,5/23/2011,2,0,5,16,0,1,1,2,0.72,0.6818,0.62,0.2985,56,223,279,15.07,2,3.422425637
7255,11/3/2011,4,0,11,21,0,4,1,1,0.4,0.4091,0.76,0.1343,4,140,144,7.7,1,1.492137295
1358,3/1/2011,1,0,3,20,0,2,1,1,0.3,0.3182,0.61,0.0896,2,86,88,24.9,1,12.50709919
3248,5/20/2011,2,0,5,5,0,5,1,1,0.44,0.4394,0.94,0.1045,0,28,28,7,2,2.348577216
16234,11/14/2012,4,1,11,3,0,3,1,1,0.24,0.2273,0.65,0.2239,0,5,5,8.5,1,1.934413342
10416,3/15/2012,1,1,3,2,0,4,1,1,0.5,0.4848,0.59,0,14,5,19,5.7,1,1.574326753
2776,4/30/2011,2,0,4,13,0,6,0,1,0.54,0.5152,0.39,0.2985,185,270,455,5,1,0.833816368
733,2/2/2011,1,0,2,21,0,3,1,1,0.22,0.197,0.47,0.3284,1,62,63,8.5,1,1.487501337
6601,10/7/2011,4,0,10,14,0,5,1,1,0.62,0.6212,0.5,0,77,179,256,17,1,5.900731771
10076,2/29/2012,1,1,2,21,0,3,1,3,0.42,0.4242,0.88,0.1642,0,39,39,8,1,2.533577792
15340,10/6/2012,4,1,10,8,0,6,0,1,0.56,0.5303,0.83,0.194,22,184,206,12,1,1.653480053
5442,8/19/2011,3,0,8,15,0,5,1,1,0.8,0.7424,0.49,0.1045,66,156,222,12.5,1,5.125703733
2600,4/23/2011,2,0,4,5,0,6,0,3,0.34,0.3636,1,0,1,6,7,7.5,1,2.520110867
3398,5/26/2011,2,0,5,11,0,4,1,1,0.74,0.697,0.66,0.2239,36,124,160,6.9,5,1.753323637
15020,9/23/2012,4,1,9,0,0,0,0,1,0.62,0.6212,0.38,0.2537,34,146,180,5,2,0.590078092
6259,9/23/2011,4,0,9,8,0,5,1,3,0.62,0.5455,0.94,0.1343,20,297,317,10.5,1,3.999122555
9259,1/26/2012,1,1,1,16,0,4,1,2,0.4,0.4091,0.71,0.0896,15,209,224,7.7,1,2.217729151
9000,1/15/2012,1,1,1,20,0,0,0,1,0.16,0.1818,0.37,0.1045,10,85,95,11,2,1.98626813
13140,7/6/2012,3,1,7,16,0,5,1,1,0.92,0.8182,0.29,0.1045,69,300,369,5.7,1,1.297074886
2770,4/30/2011,2,0,4,7,0,6,0,1,0.4,0.4091,0.54,0.3881,21,27,48,9,1,2.234033394
15215,10/1/2012,4,1,10,3,0,1,1,1,0.44,0.4394,0.77,0,1,6,7,13.5,1,3.210969327
12811,6/22/2012,3,1,6,23,0,5,1,2,0.66,0.6212,0.74,0,29,145,174,7.5,1,1.424316877
12909,6/27/2012,3,1,6,1,0,3,1,1,0.6,0.6212,0.43,0.1642,5,18,23,9,1,1.493479944
13163,7/7/2012,3,1,7,15,0,6,0,1,0.96,0.8485,0.26,0,113,193,306,14,1,3.502624227
7475,11/13/2011,4,0,11,1,0,0,0,2,0.36,0.3485,0.66,0.194,13,58,71,5.7,3,1.309056402
10863,4/2/2012,2,1,4,18,0,1,1,1,0.5,0.4848,0.27,0.2537,75,543,618,10,1,2.442934936
10434,3/15/2012,1,1,3,20,0,4,1,2,0.58,0.5455,0.6,0.3582,60,270,330,5.7,5,1.179491234
13176,7/8/2012,3,1,7,4,0,0,0,1,0.78,0.7576,0.66,0.1045,2,11,13,9.7,2,4.216160571
5640,8/28/2011,3,0,8,10,0,0,0,1,0.7,0.6515,0.61,0.6119,27,115,142,14.1,1,6.145503272
14650,9/7/2012,3,1,9,14,0,5,1,1,0.8,0.7727,0.59,0.2537,66,187,253,7.7,2,0.754014827
7955,12/3/2011,4,0,12,2,0,6,0,1,0.26,0.2576,0.65,0.1642,9,41,50,52,1,0
8235,12/14/2011,4,0,12,18,0,3,1,2,0.36,0.3485,0.62,0.1642,11,379,390,11.3,1,4.073443909
13746,7/31/2012,3,1,7,22,0,2,1,1,0.68,0.6364,0.74,0.2537,33,224,257,8.5,1,3.309128186
9683,2/13/2012,1,1,2,9,0,1,1,1,0.12,0.1364,0.5,0.194,7,198,205,12.9,6,2.930751303
6701,10/11/2011,4,0,10,18,0,2,1,2,0.6,0.5758,0.78,0.2239,46,493,539,9.5,1,0.565383245
12495,6/9/2012,2,1,6,19,0,6,0,1,0.8,0.697,0.29,0.1642,128,232,360,9,1,2.042069974
16431,11/22/2012,4,1,11,8,1,4,0,1,0.24,0.2424,0.75,0.1343,20,77,97,10,6,2.006133189
9460,2/4/2012,1,1,2,1,0,6,0,1,0.26,0.2727,0.7,0.1045,0,43,43,35,2,7.601196621
15562,10/15/2012,4,1,10,14,0,1,1,2,0.6,0.5758,0.78,0.2836,57,128,185,9,1,1.491531267
2146,4/4/2011,2,0,4,6,0,1,1,1,0.42,0.4242,0.58,0.2836,3,43,46,17,1,2.958013527
5750,9/2/2011,3,0,9,0,0,5,1,1,0.64,0.6061,0.65,0.194,6,58,64,6.1,5,1.107451359
9366,1/31/2012,1,1,1,3,0,2,1,1,0.3,0.2879,0.45,0.2239,0,2,2,14.5,2,4.619781311
11577,5/2/2012,2,1,5,13,0,3,1,2,0.58,0.5455,0.78,0.194,49,179,228,3.7,1,0.481388704
14785,9/13/2012,3,1,9,5,0,4,1,1,0.52,0.5,0.83,0,3,54,57,32.5,2,8.303373979
16444,11/22/2012,4,1,11,21,1,4,0,1,0.34,0.3485,0.61,0.0896,7,39,46,5.3,3,1.523554575
4917,7/28/2011,3,0,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,55,428,483,11.5,5,3.256207904
5984,9/11/2011,3,0,9,20,0,0,0,1,0.62,0.5909,0.73,0.1045,65,161,226,4,1,0.940153143
10075,2/29/2012,1,1,2,20,0,3,1,3,0.42,0.4242,0.88,0.1642,2,95,97,10.5,1,2.653486134
6414,9/29/2011,4,0,9,19,0,4,1,1,0.62,0.6212,0.5,0.0896,36,348,384,17.7,1,9.720693953
5875,9/7/2011,3,0,9,6,0,3,1,3,0.6,0.5455,0.88,0.1045,1,74,75,8,2,0
2919,5/6/2011,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,48,198,246,5,1,1.68064393
8655,1/1/2012,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,13,27,40,19,1,5.868672261
4071,6/23/2011,3,0,6,12,0,4,1,2,0.76,0.7273,0.66,0.2836,30,130,160,8,1,2.329444164
4756,7/22/2011,3,0,7,1,0,5,1,1,0.8,0.7879,0.63,0,7,17,24,7.3,2,1.873100548
7543,11/15/2011,4,0,11,21,0,2,1,2,0.5,0.4848,0.77,0.0896,23,145,168,6.5,5,1.800584047
13514,7/22/2012,3,1,7,6,0,0,0,2,0.62,0.5758,0.83,0.0896,5,14,19,8,1,1.382838831
1618,3/12/2011,1,0,3,21,0,6,0,1,0.38,0.3939,0.62,0,36,46,82,16.5,1,5.469999148
6155,9/19/2011,3,0,9,0,0,1,1,2,0.52,0.5,0.72,0.1642,14,23,37,49.57,2,19.85993151
1000,2/14/2011,1,0,2,7,0,1,1,1,0.34,0.303,0.46,0.2985,2,96,98,10.5,1,3.673162503
3966,6/19/2011,2,0,6,3,0,0,0,2,0.66,0.6061,0.78,0.1343,14,16,30,22.5,5,13.33779064
9791,2/17/2012,1,1,2,21,0,5,1,1,0.38,0.3939,0.37,0.194,15,114,129,11.5,1,3.140639763
7758,11/24/2011,4,0,11,20,1,4,0,1,0.36,0.3485,0.76,0.1642,14,17,31,12.5,2,1.265615637
12674,6/17/2012,2,1,6,6,0,0,0,1,0.52,0.5,0.72,0.1045,7,16,23,5.5,1,0.714625042
15995,11/4/2012,4,1,11,3,0,0,0,1,0.28,0.2879,0.61,0.1045,1,10,11,6.5,1,1.787315844
4223,6/29/2011,3,0,6,20,0,3,1,1,0.74,0.6515,0.37,0.2985,69,264,333,16.5,3,6.368367628
11124,4/13/2012,2,1,4,16,0,5,1,1,0.56,0.5303,0.26,0.2537,113,350,463,9,1,2.904844319
6499,10/3/2011,4,0,10,8,0,1,1,2,0.36,0.3636,0.71,0.1045,13,359,372,8.9,1,2.078706027
6793,10/15/2011,4,0,10,14,0,6,0,1,0.6,0.6212,0.33,0.4627,242,230,472,10.9,1,3.763336087
2332,4/12/2011,2,0,4,1,0,2,1,2,0.62,0.6212,0.5,0.0896,6,7,13,8.9,1,2.752503073
417,1/19/2011,1,0,1,9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,107,109,8.5,1,1.790117352
1731,3/17/2011,1,0,3,18,0,4,1,2,0.46,0.4545,0.59,0.1642,50,260,310,17,1,2.096053189
4500,7/11/2011,3,0,7,9,0,1,1,1,0.78,0.7424,0.59,0.2985,41,167,208,12.5,1,6.15517051
14075,8/14/2012,3,1,8,15,0,2,1,1,0.82,0.7576,0.46,0.2239,84,199,283,52.5,1,20.44742321
914,2/10/2011,1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,6,42,48,16,1,6.521495247
14624,9/6/2012,3,1,9,12,0,4,1,2,0.72,0.697,0.79,0.2239,11,126,137,8,1,2.005059391
5394,8/17/2011,3,0,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,42,117,159,17.3,1,8.817314188
8888,1/11/2012,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343,0,2,2,5.7,1,2.285514316
12486,6/9/2012,2,1,6,10,0,6,0,1,0.7,0.6515,0.51,0.1045,168,298,466,5.5,1,1.116724421
7910,12/1/2011,4,0,12,5,0,4,1,1,0.26,0.2424,0.56,0.2537,1,23,24,16.5,2,6.661289707
11735,5/9/2012,2,1,5,3,0,3,1,3,0.56,0.5303,0.88,0.1642,0,2,2,12.9,2,5.190192737
7968,12/3/2011,4,0,12,15,0,6,0,1,0.38,0.3939,0.46,0,100,237,337,10.1,1,3.186944165
7408,11/10/2011,4,0,11,6,0,4,1,2,0.36,0.3485,1,0.1343,4,110,114,9.5,1,1.534180907
6415,9/29/2011,4,0,9,20,0,4,1,1,0.6,0.6212,0.53,0.0896,39,234,273,4.5,5,0.982854007
1710,3/16/2011,1,0,3,21,0,3,1,2,0.42,0.4242,0.58,0.2836,3,75,78,6.5,1,0.967742469
14226,8/20/2012,3,1,8,22,0,1,1,2,0.6,0.5606,0.83,0,25,136,161,21.5,1,8.383688513
14787,9/13/2012,3,1,9,7,0,4,1,1,0.54,0.5152,0.77,0,22,549,571,8,1,1.047851661
9760,2/16/2012,1,1,2,14,0,4,1,3,0.32,0.3182,0.81,0.194,1,30,31,4.9,1,1.220869076
6386,9/28/2011,4,0,9,15,0,3,1,1,0.7,0.6515,0.7,0.1343,35,146,181,5.7,2,0.917278713
3648,6/5/2011,2,0,6,21,0,0,0,1,0.64,0.6061,0.73,0.1642,54,111,165,15.3,5,5.965095969
9746,2/16/2012,1,1,2,0,0,4,1,2,0.3,0.303,0.7,0.1343,1,22,23,14.9,1,4.0227347
3814,6/12/2011,2,0,6,19,0,0,0,1,0.7,0.6667,0.74,0.1045,67,156,223,7,1,1.141055369
8801,1/7/2012,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,100,276,376,35.5,1,14.04982457
5773,9/2/2011,3,0,9,23,0,5,1,2,0.64,0.6061,0.73,0.1642,30,68,98,8.5,1,2.28621889
9196,1/24/2012,1,1,1,1,0,2,1,2,0.32,0.303,0.93,0.2537,2,7,9,4.5,1,1.048614539
9659,2/12/2012,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985,3,60,63,4.1,1,0.678748624
10152,3/4/2012,1,1,3,1,0,0,0,2,0.38,0.3939,0.34,0.194,16,60,76,11.7,1,4.847690113
7477,11/13/2011,4,0,11,3,0,0,0,2,0.36,0.3485,0.62,0.1343,8,20,28,23,1,10.1851652
3043,5/11/2011,2,0,5,16,0,3,1,1,0.66,0.6212,0.39,0,49,240,289,5.7,2,1.107671326
992,2/13/2011,1,0,2,23,0,0,0,1,0.4,0.4091,0.35,0.3582,3,27,30,5.3,1,1.435626213
6799,10/15/2011,4,0,10,20,0,6,0,1,0.5,0.4848,0.48,0.1343,42,137,179,10.5,1,1.375294556
6442,9/30/2011,4,0,9,23,0,5,1,1,0.52,0.5,0.55,0.3284,23,109,132,4.9,1,1.564273957
3815,6/12/2011,2,0,6,20,0,0,0,1,0.66,0.6061,0.83,0.1642,62,144,206,6.5,4,1.432903034
14938,9/19/2012,3,1,9,14,0,3,1,1,0.62,0.6212,0.38,0.2537,59,227,286,11.3,2,3.083295776
14565,9/4/2012,3,1,9,1,0,2,1,1,0.68,0.6364,0.82,0.1343,15,9,24,11.5,1,4.5829328
14501,9/1/2012,3,1,9,9,0,6,0,2,0.76,0.7121,0.58,0.194,62,175,237,5.3,2,0.847214753
1306,2/27/2011,1,0,2,14,0,0,0,1,0.44,0.4394,0.47,0.0896,105,177,282,5.7,1,1.400794422
8633,12/31/2011,1,0,12,11,0,6,0,1,0.42,0.4242,0.71,0.1642,65,152,217,8.1,1,2.813683855
13407,7/17/2012,3,1,7,19,0,2,1,1,0.88,0.7879,0.35,0.2537,69,478,547,6.1,1,2.240909089
8166,12/11/2011,4,0,12,21,0,0,0,1,0.22,0.2727,0.55,0,10,53,63,9.3,1,2.475132685
7179,10/31/2011,4,0,10,17,0,1,1,1,0.42,0.4242,0.54,0.1343,44,442,486,4.5,2,0.003983178
8687,1/2/2012,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113,126,5.7,4,1.386465297
862,2/8/2011,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243,16.5,2,5.336254248
11097,4/12/2012,2,1,4,13,0,4,1,1,0.48,0.4697,0.36,0.4478,55,148,203,17,2,5.137801893
1152,2/20/2011,1,0,2,18,0,0,0,2,0.34,0.3333,0.36,0.1343,30,71,101,24.5,6,5.991734371
4157,6/27/2011,3,0,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,3,3,6,6.1,1,1.677506167
16913,12/12/2012,4,1,12,11,0,3,1,2,0.32,0.303,0.49,0.2239,24,148,172,6,1,1.655511753
9724,2/15/2012,1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0,0,4,4,6.5,1,0
14839,9/15/2012,3,1,9,11,0,6,0,1,0.64,0.6212,0.38,0.3881,228,399,627,3.7,5,0
11812,5/12/2012,2,1,5,8,0,6,0,1,0.52,0.5,0.48,0,22,156,178,4.5,3,0.967444861
17374,12/31/2012,1,1,12,18,0,1,1,2,0.26,0.2727,0.48,0.1343,10,112,122,27,1,7.063627773
14449,8/30/2012,3,1,8,5,0,4,1,1,0.62,0.5909,0.73,0,2,33,35,16,1,1.578678802
3152,5/16/2011,2,0,5,5,0,1,1,1,0.5,0.4848,0.93,0.194,1,20,21,16.1,1,5.16661238
4172,6/27/2011,3,0,6,17,0,1,1,1,0.74,0.6818,0.55,0.1343,90,514,604,15.7,2,3.615502089
6479,10/2/2011,4,0,10,12,0,0,0,2,0.4,0.4091,0.62,0.194,78,243,321,26.9,6,10.66286198
11236,4/18/2012,2,1,4,8,0,3,1,3,0.5,0.4848,0.39,0.194,25,551,576,5.5,1,0.778879587
4554,7/13/2011,3,0,7,15,0,3,1,3,0.64,0.5606,0.94,0.1343,13,33,46,6,1,1.174288125
7799,11/26/2011,4,0,11,13,0,6,0,1,0.48,0.4697,0.44,0,177,148,325,7.7,1,1.598357699
3092,5/13/2011,2,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,62,429,491,12.9,1,3.510893442
8849,1/9/2012,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045,10,93,103,11.3,1,4.243275915
6004,9/12/2011,3,0,9,17,0,1,1,1,0.72,0.6667,0.51,0.1642,75,515,590,42.5,2,17.99032135
17030,12/17/2012,4,1,12,8,0,1,1,2,0.38,0.3939,0.87,0.1045,10,582,592,5.7,2,0.962446039
16273,11/15/2012,4,1,11,18,0,4,1,2,0.36,0.3485,0.57,0.194,10,563,573,5.3,2,0.889888089
13892,8/7/2012,3,1,8,0,0,2,1,1,0.7,0.6667,0.84,0.194,15,32,47,10.5,1,3.631738652
9429,2/2/2012,1,1,2,18,0,4,1,1,0.4,0.4091,0.43,0.4627,17,393,410,7.3,1,3.896226425
8365,12/20/2011,4,0,12,4,0,2,1,2,0.36,0.3636,0.53,0.1045,0,4,4,4.5,1,0.742651522
11886,5/15/2012,2,1,5,10,0,2,1,1,0.62,0.5909,0.78,0.1045,27,144,171,12.5,1,2.699891084
2827,5/2/2011,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,49,220,269,16.5,1,6.62829109
16135,11/10/2012,4,1,11,0,0,6,0,1,0.32,0.3333,0.76,0.0896,16,106,122,4.9,2,0.919542876
15175,9/29/2012,4,1,9,11,0,6,0,1,0.56,0.5303,0.52,0.2836,217,446,663,4.1,1,0.945300704
14745,9/11/2012,3,1,9,13,0,2,1,1,0.66,0.6212,0.29,0.0896,72,256,328,15.5,1,4.522016719
7875,11/29/2011,4,0,11,18,0,2,1,2,0.4,0.4091,0.82,0.2985,11,347,358,11,1,3.296078117
1370,3/2/2011,1,0,3,8,0,3,1,1,0.24,0.2121,0.65,0.2836,13,243,256,4.9,2,1.117200494
3434,5/27/2011,2,0,5,23,0,5,1,1,0.58,0.5455,0.88,0.1343,23,104,127,11.3,1,5.755264606
4300,7/3/2011,3,0,7,1,0,0,0,2,0.7,0.6515,0.61,0.1642,23,55,78,7.3,1,3.515798807
12163,5/26/2012,2,1,5,23,0,6,0,1,0.7,0.6667,0.74,0.2537,36,114,150,14.9,6,2.347251988
1036,2/15/2011,1,0,2,20,0,2,1,1,0.26,0.2727,0.33,0.1045,3,98,101,30.9,5,9.452551134
4123,6/25/2011,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410,6.1,1,1.817001348
10538,3/20/2012,1,1,3,4,0,2,1,2,0.52,0.5,0.88,0.1343,0,6,6,3.3,1,0.153870639
6270,9/23/2011,4,0,9,19,0,5,1,1,0.62,0.5455,0.94,0.1343,16,232,248,4.1,1,0.689906046
638,1/29/2011,1,0,1,20,0,6,0,1,0.18,0.2121,0.74,0.0896,1,42,43,12,3,2.326211301
16744,12/5/2012,4,1,12,10,0,3,1,2,0.44,0.4394,0.47,0.3582,14,127,141,9,1,1.181325716
7100,10/28/2011,4,0,10,10,0,5,1,1,0.34,0.3182,0.57,0.2239,28,102,130,2.5,1,0.069175259
